"Step","trim-frost-110 - train_mIoU","trim-frost-110 - train_mIoU__MIN","trim-frost-110 - train_mIoU__MAX","lyric-energy-103 - train_mIoU","lyric-energy-103 - train_mIoU__MIN","lyric-energy-103 - train_mIoU__MAX","rose-puddle-95 - train_mIoU","rose-puddle-95 - train_mIoU__MIN","rose-puddle-95 - train_mIoU__MAX","lively-wave-77 - train_mIoU","lively-wave-77 - train_mIoU__MIN","lively-wave-77 - train_mIoU__MAX"
"0","0.6468148122647339","0.6468148122647339","0.6468148122647339","0.6475939661731657","0.6475939661731657","0.6475939661731657","0.633230841902291","0.633230841902291","0.633230841902291","0.019962970856088887","0.019962970856088887","0.019962970856088887"
"1","0.7025819357635161","0.7025819357635161","0.7025819357635161","0.6928582169655965","0.6928582169655965","0.6928582169655965","0.6762574313021465","0.6762574313021465","0.6762574313021465","0.07481407945344584","0.07481407945344584","0.07481407945344584"
"2","0.7117329152990559","0.7117329152990559","0.7117329152990559","0.6967082295567587","0.6967082295567587","0.6967082295567587","0.680125028074257","0.680125028074257","0.680125028074257","0.1300968958983125","0.1300968958983125","0.1300968958983125"
"3","0.7359023649789113","0.7359023649789113","0.7359023649789113","0.7171298594590675","0.7171298594590675","0.7171298594590675","0.6846958243971512","0.6846958243971512","0.6846958243971512","0.21245227859137042","0.21245227859137042","0.21245227859137042"
"4","0.7557349589335606","0.7557349589335606","0.7557349589335606","0.7437031172145799","0.7437031172145799","0.7437031172145799","0.719108598513053","0.719108598513053","0.719108598513053","0.22881570102647894","0.22881570102647894","0.22881570102647894"
"5","0.7751191332163679","0.7751191332163679","0.7751191332163679","0.7499129157169386","0.7499129157169386","0.7499129157169386","0.7261863196011881","0.7261863196011881","0.7261863196011881","0.22276561923318589","0.22276561923318589","0.22276561923318589"
"6","0.7784722844068158","0.7784722844068158","0.7784722844068158","0.7621484673617404","0.7621484673617404","0.7621484673617404","0.7552658646152632","0.7552658646152632","0.7552658646152632","0.3097990877526385","0.3097990877526385","0.3097990877526385"
"7","0.7865424466499011","0.7865424466499011","0.7865424466499011","0.7600855645933181","0.7600855645933181","0.7600855645933181","0.7392473116722912","0.7392473116722912","0.7392473116722912","0.30961906783766885","0.30961906783766885","0.30961906783766885"
"8","0.7812993049884887","0.7812993049884887","0.7812993049884887","0.776043992628883","0.776043992628883","0.776043992628883","0.7781157648483151","0.7781157648483151","0.7781157648483151","0.3967256052579503","0.3967256052579503","0.3967256052579503"
"9","0.7872114885543987","0.7872114885543987","0.7872114885543987","0.7993912514536934","0.7993912514536934","0.7993912514536934","0.7737253078001801","0.7737253078001801","0.7737253078001801","0.3921424948344159","0.3921424948344159","0.3921424948344159"
"10","0.805086909684623","0.805086909684623","0.805086909684623","0.7974433963242088","0.7974433963242088","0.7974433963242088","0.7717466723036939","0.7717466723036939","0.7717466723036939","0.43095407039746014","0.43095407039746014","0.43095407039746014"
"11","0.8069742560634224","0.8069742560634224","0.8069742560634224","0.8009495989082406","0.8009495989082406","0.8009495989082406","0.7920133661365192","0.7920133661365192","0.7920133661365192","0.4675410490747482","0.4675410490747482","0.4675410490747482"
"12","0.8141043295508269","0.8141043295508269","0.8141043295508269","0.801046785799134","0.801046785799134","0.801046785799134","0.7899103553098838","0.7899103553098838","0.7899103553098838","0.45087972930635256","0.45087972930635256","0.45087972930635256"
