"Step","trim-frost-110 - train_mIoU","trim-frost-110 - train_mIoU__MIN","trim-frost-110 - train_mIoU__MAX","lyric-energy-103 - train_mIoU","lyric-energy-103 - train_mIoU__MIN","lyric-energy-103 - train_mIoU__MAX","rose-puddle-95 - train_mIoU","rose-puddle-95 - train_mIoU__MIN","rose-puddle-95 - train_mIoU__MAX","lively-wave-77 - train_mIoU","lively-wave-77 - train_mIoU__MIN","lively-wave-77 - train_mIoU__MAX"
"13","0.8186636009133561","0.8186636009133561","0.8186636009133561","0.8132447217094526","0.8132447217094526","0.8132447217094526","0.7974587389347395","0.7974587389347395","0.7974587389347395","0.4513849699235473","0.4513849699235473","0.4513849699235473"
"14","0.8206421091751774","0.8206421091751774","0.8206421091751774","0.8130033285583373","0.8130033285583373","0.8130033285583373","0.8072087343472408","0.8072087343472408","0.8072087343472408","0.5008169089358805","0.5008169089358805","0.5008169089358805"
"15","0.8100613770589848","0.8100613770589848","0.8100613770589848","0.8199751853229161","0.8199751853229161","0.8199751853229161","0.7853273745100019","0.7853273745100019","0.7853273745100019","0.5431506299102735","0.5431506299102735","0.5431506299102735"
"16","0.8160412437742383","0.8160412437742383","0.8160412437742383","0.813551547648041","0.813551547648041","0.813551547648041","0.8136169728307131","0.8136169728307131","0.8136169728307131","0.537773504139465","0.537773504139465","0.537773504139465"
"17","0.8234287782257372","0.8234287782257372","0.8234287782257372","0.8242495338497741","0.8242495338497741","0.8242495338497741","0.8180330556782696","0.8180330556782696","0.8180330556782696","0.5569526310273256","0.5569526310273256","0.5569526310273256"
"18","0.8256208405726648","0.8256208405726648","0.8256208405726648","0.8208089440810094","0.8208089440810094","0.8208089440810094","0.7986499132740654","0.7986499132740654","0.7986499132740654","0.5808047151283089","0.5808047151283089","0.5808047151283089"
"19","0.8256258915145771","0.8256258915145771","0.8256258915145771","0.8295562124106945","0.8295562124106945","0.8295562124106945","0.8169963654001444","0.8169963654001444","0.8169963654001444","0.5734503997247085","0.5734503997247085","0.5734503997247085"
"20","0.8353579608814454","0.8353579608814454","0.8353579608814454","0.8341116933244634","0.8341116933244634","0.8341116933244634","0.8130789816649205","0.8130789816649205","0.8130789816649205","0.5837248938643972","0.5837248938643972","0.5837248938643972"
"21","0.8326332570075557","0.8326332570075557","0.8326332570075557","0.8324863013648159","0.8324863013648159","0.8324863013648159","0.81342238573949","0.81342238573949","0.81342238573949","0.5904250363902014","0.5904250363902014","0.5904250363902014"
"22","0.8280794593398745","0.8280794593398745","0.8280794593398745","0.8146033454189927","0.8146033454189927","0.8146033454189927","0.81865460030215","0.81865460030215","0.81865460030215","0.5894235234317667","0.5894235234317667","0.5894235234317667"
"23","0.8245564154390206","0.8245564154390206","0.8245564154390206","0.8229709430903798","0.8229709430903798","0.8229709430903798","0.8230332593253384","0.8230332593253384","0.8230332593253384","0.6121840430004882","0.6121840430004882","0.6121840430004882"
"24","0.8253552236910265","0.8253552236910265","0.8253552236910265","0.837901118551182","0.837901118551182","0.837901118551182","0.8280425045285869","0.8280425045285869","0.8280425045285869","0.5664109279538686","0.5664109279538686","0.5664109279538686"
"25","0.8392822876543496","0.8392822876543496","0.8392822876543496","0.8368399173633033","0.8368399173633033","0.8368399173633033","0.815132630679716","0.815132630679716","0.815132630679716","0.6275694189661182","0.6275694189661182","0.6275694189661182"
"26","0.8428690516037891","0.8428690516037891","0.8428690516037891","0.8453163772713161","0.8453163772713161","0.8453163772713161","0.8207324741817664","0.8207324741817664","0.8207324741817664","0.6458011967953199","0.6458011967953199","0.6458011967953199"
"27","0.8434811204786533","0.8434811204786533","0.8434811204786533","0.8429974035871554","0.8429974035871554","0.8429974035871554","0.8234984986583122","0.8234984986583122","0.8234984986583122","0.6252571860636422","0.6252571860636422","0.6252571860636422"
"28","0.8464218510666827","0.8464218510666827","0.8464218510666827","0.8473416012877888","0.8473416012877888","0.8473416012877888","0.8285427500369159","0.8285427500369159","0.8285427500369159","0.6517239070962438","0.6517239070962438","0.6517239070962438"
"29","0.8465068470182743","0.8465068470182743","0.8465068470182743","0.8500794511441706","0.8500794511441706","0.8500794511441706","0.8211116132883186","0.8211116132883186","0.8211116132883186","0.6158611087662054","0.6158611087662054","0.6158611087662054"
"30","0.8531842031278709","0.8531842031278709","0.8531842031278709","0.8519930079338198","0.8519930079338198","0.8519930079338198","0.832667034833282","0.832667034833282","0.832667034833282","0.6537756221770106","0.6537756221770106","0.6537756221770106"
"31","0.8369854312710405","0.8369854312710405","0.8369854312710405","0.84819074666983","0.84819074666983","0.84819074666983","0.8418392611395299","0.8418392611395299","0.8418392611395299","0.6424747879409868","0.6424747879409868","0.6424747879409868"
"32","0.8464146304522036","0.8464146304522036","0.8464146304522036","0.8508670776344454","0.8508670776344454","0.8508670776344454","0.8379626344645302","0.8379626344645302","0.8379626344645302","0.6621639503309508","0.6621639503309508","0.6621639503309508"
"33","0.8491584944584956","0.8491584944584956","0.8491584944584956","0.8495160971862404","0.8495160971862404","0.8495160971862404","0.8435495690218886","0.8435495690218886","0.8435495690218886","0.6343800331069395","0.6343800331069395","0.6343800331069395"
"34","0.8511024732658817","0.8511024732658817","0.8511024732658817","0.8421781777900069","0.8421781777900069","0.8421781777900069","0.8455214995096353","0.8455214995096353","0.8455214995096353","0.6533807773395622","0.6533807773395622","0.6533807773395622"
"35","0.8500365969853826","0.8500365969853826","0.8500365969853826","0.8551717334654844","0.8551717334654844","0.8551717334654844","0.8460420415584914","0.8460420415584914","0.8460420415584914","0.6740548597789545","0.6740548597789545","0.6740548597789545"
"36","0.8535134238155972","0.8535134238155972","0.8535134238155972","0.8507363479767992","0.8507363479767992","0.8507363479767992","0.8434222183316898","0.8434222183316898","0.8434222183316898","0.6791074491549723","0.6791074491549723","0.6791074491549723"
"37","0.8525633103947977","0.8525633103947977","0.8525633103947977","0.8527555777434255","0.8527555777434255","0.8527555777434255","0.8102511072264701","0.8102511072264701","0.8102511072264701","0.6841279822100411","0.6841279822100411","0.6841279822100411"
"38","0.8457307594378933","0.8457307594378933","0.8457307594378933","0.8562522508152254","0.8562522508152254","0.8562522508152254","0.8297059295660422","0.8297059295660422","0.8297059295660422","0.7056462124465811","0.7056462124465811","0.7056462124465811"
"39","0.8570586451929437","0.8570586451929437","0.8570586451929437","0.8542247792599602","0.8542247792599602","0.8542247792599602","0.8452160163006315","0.8452160163006315","0.8452160163006315","0.6831688515817192","0.6831688515817192","0.6831688515817192"
