"Step","trim-frost-110 - train_PixelAccuracy","trim-frost-110 - train_PixelAccuracy__MIN","trim-frost-110 - train_PixelAccuracy__MAX","lyric-energy-103 - train_PixelAccuracy","lyric-energy-103 - train_PixelAccuracy__MIN","lyric-energy-103 - train_PixelAccuracy__MAX","rose-puddle-95 - train_PixelAccuracy","rose-puddle-95 - train_PixelAccuracy__MIN","rose-puddle-95 - train_PixelAccuracy__MAX","lively-wave-77 - train_PixelAccuracy","lively-wave-77 - train_PixelAccuracy__MIN","lively-wave-77 - train_PixelAccuracy__MAX"
"15","0.9482012478305136","0.9482012478305136","0.9482012478305136","0.9514747228931373","0.9514747228931373","0.9514747228931373","0.9272409149537486","0.9272409149537486","0.9272409149537486","0.79236942285377","0.79236942285377","0.79236942285377"
"16","0.9475063452602227","0.9475063452602227","0.9475063452602227","0.9510141521388799","0.9510141521388799","0.9510141521388799","0.9458842707842761","0.9458842707842761","0.9458842707842761","0.7803513870069945","0.7803513870069945","0.7803513870069945"
"17","0.9539207993740053","0.9539207993740053","0.9539207993740053","0.9548653555897563","0.9548653555897563","0.9548653555897563","0.9480753554508502","0.9480753554508502","0.9480753554508502","0.7968212638180872","0.7968212638180872","0.7968212638180872"
"18","0.9538887076200423","0.9538887076200423","0.9538887076200423","0.9528090175552257","0.9528090175552257","0.9528090175552257","0.9393745150616934","0.9393745150616934","0.9393745150616934","0.8068103004537498","0.8068103004537498","0.8068103004537498"
"19","0.9515833650188906","0.9515833650188906","0.9515833650188906","0.9559376263682655","0.9559376263682655","0.9559376263682655","0.9466741911908612","0.9466741911908612","0.9466741911908612","0.8115216483174209","0.8115216483174209","0.8115216483174209"
"20","0.9580398675209975","0.9580398675209975","0.9580398675209975","0.9581124844047274","0.9581124844047274","0.9581124844047274","0.9496329987813154","0.9496329987813154","0.9496329987813154","0.8169055469201317","0.8169055469201317","0.8169055469201317"
"21","0.9563411320429764","0.9563411320429764","0.9563411320429764","0.9590873819256324","0.9590873819256324","0.9590873819256324","0.9478795335100308","0.9478795335100308","0.9478795335100308","0.8266338294894001","0.8266338294894001","0.8266338294894001"
"22","0.9511488178377356","0.9511488178377356","0.9511488178377356","0.9483831381696067","0.9483831381696067","0.9483831381696067","0.951084331292006","0.951084331292006","0.951084331292006","0.8232302785295611","0.8232302785295611","0.8232302785295611"
"23","0.9531412320952953","0.9531412320952953","0.9531412320952953","0.9529523811434217","0.9529523811434217","0.9529523811434217","0.9540576632742587","0.9540576632742587","0.9540576632742587","0.8280436742579362","0.8280436742579362","0.8280436742579362"
"24","0.9544261848083199","0.9544261848083199","0.9544261848083199","0.9594572422795735","0.9594572422795735","0.9594572422795735","0.9552349250050486","0.9552349250050486","0.9552349250050486","0.8252166329057724","0.8252166329057724","0.8252166329057724"
"25","0.9600309292601936","0.9600309292601936","0.9600309292601936","0.9602668930836084","0.9602668930836084","0.9602668930836084","0.9483679355395884","0.9483679355395884","0.9483679355395884","0.8424421245084744","0.8424421245084744","0.8424421245084744"
"26","0.961802720916944","0.961802720916944","0.961802720916944","0.9621032635284467","0.9621032635284467","0.9621032635284467","0.9521904702333972","0.9521904702333972","0.9521904702333972","0.8528768730395871","0.8528768730395871","0.8528768730395871"
"27","0.9621724653077514","0.9621724653077514","0.9621724653077514","0.9610752051922434","0.9610752051922434","0.9610752051922434","0.952454066369677","0.952454066369677","0.952454066369677","0.8470187570691319","0.8470187570691319","0.8470187570691319"
"28","0.9645148567223085","0.9645148567223085","0.9645148567223085","0.9641410028535802","0.9641410028535802","0.9641410028535802","0.9553116782741451","0.9553116782741451","0.9553116782741451","0.8542446120392281","0.8542446120392281","0.8542446120392281"
"29","0.9643967097073789","0.9643967097073789","0.9643967097073789","0.9640132631835405","0.9640132631835405","0.9640132631835405","0.9509795173501698","0.9509795173501698","0.9509795173501698","0.8411692683458412","0.8411692683458412","0.8411692683458412"
"30","0.9663053235507904","0.9663053235507904","0.9663053235507904","0.9654330350113575","0.9654330350113575","0.9654330350113575","0.9577734345759472","0.9577734345759472","0.9577734345759472","0.8553183556312076","0.8553183556312076","0.8553183556312076"
"31","0.9553249249948507","0.9553249249948507","0.9553249249948507","0.9641675631937481","0.9641675631937481","0.9641675631937481","0.96143632300103","0.96143632300103","0.96143632300103","0.8586806218824181","0.8586806218824181","0.8586806218824181"
"32","0.9645004157353414","0.9645004157353414","0.9645004157353414","0.966175228215894","0.966175228215894","0.966175228215894","0.9608397160039408","0.9608397160039408","0.9608397160039408","0.8592699448343631","0.8592699448343631","0.8592699448343631"
"33","0.9652031258753111","0.9652031258753111","0.9652031258753111","0.9652626012923322","0.9652626012923322","0.9652626012923322","0.962142171227799","0.962142171227799","0.962142171227799","0.8475740434171007","0.8475740434171007","0.8475740434171007"
"34","0.9659471444912842","0.9659471444912842","0.9659471444912842","0.9634232629870255","0.9634232629870255","0.9634232629870255","0.9630347371479986","0.9630347371479986","0.9630347371479986","0.8570919660188305","0.8570919660188305","0.8570919660188305"
"35","0.9659775758733579","0.9659775758733579","0.9659775758733579","0.967049160353819","0.967049160353819","0.967049160353819","0.9638929356996679","0.9638929356996679","0.9638929356996679","0.8719397578224186","0.8719397578224186","0.8719397578224186"
"36","0.9663969346885763","0.9663969346885763","0.9663969346885763","0.9661806933717262","0.9661806933717262","0.9661806933717262","0.9631194201965619","0.9631194201965619","0.9631194201965619","0.8764429533758797","0.8764429533758797","0.8764429533758797"
"37","0.9670910028788492","0.9670910028788492","0.9670910028788492","0.9656034974728068","0.9656034974728068","0.9656034974728068","0.9453548505292552","0.9453548505292552","0.9453548505292552","0.8793358674606806","0.8793358674606806","0.8793358674606806"
"38","0.9667460025973666","0.9667460025973666","0.9667460025973666","0.9681610673822665","0.9681610673822665","0.9681610673822665","0.955880471294956","0.955880471294956","0.955880471294956","0.8882987134706689","0.8882987134706689","0.8882987134706689"
"39","0.9688628384266289","0.9688628384266289","0.9688628384266289","0.9677530326240998","0.9677530326240998","0.9677530326240998","0.9629623150350662","0.9629623150350662","0.9629623150350662","0.8738486889852942","0.8738486889852942","0.8738486889852942"
