"Step","trim-frost-110 - train_PixelAccuracy","trim-frost-110 - train_PixelAccuracy__MIN","trim-frost-110 - train_PixelAccuracy__MAX","lyric-energy-103 - train_PixelAccuracy","lyric-energy-103 - train_PixelAccuracy__MIN","lyric-energy-103 - train_PixelAccuracy__MAX","rose-puddle-95 - train_PixelAccuracy","rose-puddle-95 - train_PixelAccuracy__MIN","rose-puddle-95 - train_PixelAccuracy__MAX","lively-wave-77 - train_PixelAccuracy","lively-wave-77 - train_PixelAccuracy__MIN","lively-wave-77 - train_PixelAccuracy__MAX"
"0","0.8510415304690149","0.8510415304690149","0.8510415304690149","0.8462525189012999","0.8462525189012999","0.8462525189012999","0.8406635587063919","0.8406635587063919","0.8406635587063919","0.2792179772939123","0.2792179772939123","0.2792179772939123"
"1","0.8803130395203762","0.8803130395203762","0.8803130395203762","0.8776713732821504","0.8776713732821504","0.8776713732821504","0.8691919758690596","0.8691919758690596","0.8691919758690596","0.39785029613104733","0.39785029613104733","0.39785029613104733"
"2","0.8901034637316243","0.8901034637316243","0.8901034637316243","0.8907013315214884","0.8907013315214884","0.8907013315214884","0.8798938283675082","0.8798938283675082","0.8798938283675082","0.4865016085629915","0.4865016085629915","0.4865016085629915"
"3","0.9042792137544914","0.9042792137544914","0.9042792137544914","0.8961859087857903","0.8961859087857903","0.8961859087857903","0.8780906918357796","0.8780906918357796","0.8780906918357796","0.572217846141872","0.572217846141872","0.572217846141872"
"4","0.9144238350102034","0.9144238350102034","0.9144238350102034","0.9092629671693282","0.9092629671693282","0.9092629671693282","0.8931957256158349","0.8931957256158349","0.8931957256158349","0.6055721106095725","0.6055721106095725","0.6055721106095725"
"5","0.9258934532845176","0.9258934532845176","0.9258934532845176","0.9156809454920304","0.9156809454920304","0.9156809454920304","0.9113884042736842","0.9113884042736842","0.9113884042736842","0.6002089573276721","0.6002089573276721","0.6002089573276721"
"6","0.9278118022657244","0.9278118022657244","0.9278118022657244","0.9175877240670298","0.9175877240670298","0.9175877240670298","0.9202917766229993","0.9202917766229993","0.9202917766229993","0.6472186933871625","0.6472186933871625","0.6472186933871625"
"7","0.9312297292143039","0.9312297292143039","0.9312297292143039","0.9242386637098982","0.9242386637098982","0.9242386637098982","0.9153600092755216","0.9153600092755216","0.9153600092755216","0.6730858657525416","0.6730858657525416","0.6730858657525416"
"8","0.9300232226405826","0.9300232226405826","0.9300232226405826","0.9319685264991063","0.9319685264991063","0.9319685264991063","0.9298811851013219","0.9298811851013219","0.9298811851013219","0.7009361415682547","0.7009361415682547","0.7009361415682547"
"9","0.9381934037552382","0.9381934037552382","0.9381934037552382","0.9382868535516701","0.9382868535516701","0.9382868535516701","0.9296914926321572","0.9296914926321572","0.9296914926321572","0.7177935231959883","0.7177935231959883","0.7177935231959883"
"10","0.9428252227190891","0.9428252227190891","0.9428252227190891","0.9385055598314349","0.9385055598314349","0.9385055598314349","0.9326745322309115","0.9326745322309115","0.9326745322309115","0.7411190583469628","0.7411190583469628","0.7411190583469628"
"11","0.9411754712015785","0.9411754712015785","0.9411754712015785","0.9414301028309141","0.9414301028309141","0.9414301028309141","0.9353130247375536","0.9353130247375536","0.9353130247375536","0.7560107184007709","0.7560107184007709","0.7560107184007709"
"12","0.9482188739365645","0.9482188739365645","0.9482188739365645","0.9448539577771857","0.9448539577771857","0.9448539577771857","0.9372477269560313","0.9372477269560313","0.9372477269560313","0.7374709643616147","0.7374709643616147","0.7374709643616147"
"13","0.9503982746988177","0.9503982746988177","0.9503982746988177","0.9481505594153338","0.9481505594153338","0.9481505594153338","0.9397346486993767","0.9397346486993767","0.9397346486993767","0.7393723975657216","0.7393723975657216","0.7393723975657216"
"14","0.950465814311253","0.950465814311253","0.950465814311253","0.9501373070743251","0.9501373070743251","0.9501373070743251","0.9446769199141564","0.9446769199141564","0.9446769199141564","0.7698324439767488","0.7698324439767488","0.7698324439767488"
