"Step","trim-frost-110 - train_loss","trim-frost-110 - train_loss__MIN","trim-frost-110 - train_loss__MAX","lyric-energy-103 - train_loss","lyric-energy-103 - train_loss__MIN","lyric-energy-103 - train_loss__MAX","rose-puddle-95 - train_loss","rose-puddle-95 - train_loss__MIN","rose-puddle-95 - train_loss__MAX","lively-wave-77 - train_loss","lively-wave-77 - train_loss__MIN","lively-wave-77 - train_loss__MAX"
"17","0.0701255590473331","0.0701255590473331","0.0701255590473331","0.07191858245001274","0.07191858245001274","0.07191858245001274","0.07897798619555227","0.07897798619555227","0.07897798619555227","0.15691996049018775","0.15691996049018775","0.15691996049018775"
"18","0.06947368946652742","0.06947368946652742","0.06947368946652742","0.06926066786425668","0.06926066786425668","0.06926066786425668","0.08825861114375996","0.08825861114375996","0.08825861114375996","0.15553041525981712","0.15553041525981712","0.15553041525981712"
"19","0.06644803055052487","0.06644803055052487","0.06644803055052487","0.07178951005609531","0.07178951005609531","0.07178951005609531","0.08111332795529995","0.08111332795529995","0.08111332795529995","0.15098388687994496","0.15098388687994496","0.15098388687994496"
"20","0.06648787131661889","0.06648787131661889","0.06648787131661889","0.061992257674160244","0.061992257674160244","0.061992257674160244","0.08022074139905426","0.08022074139905426","0.08022074139905426","0.1375467020198234","0.1375467020198234","0.1375467020198234"
"21","0.06025690860905737","0.06025690860905737","0.06025690860905737","0.06119173826099192","0.06119173826099192","0.06119173826099192","0.07276715569947875","0.07276715569947875","0.07276715569947875","0.13960095055448185","0.13960095055448185","0.13960095055448185"
"22","0.062236186449632705","0.062236186449632705","0.062236186449632705","0.0669133519976394","0.0669133519976394","0.0669133519976394","0.07126810665962831","0.07126810665962831","0.07126810665962831","0.13706584566231794","0.13706584566231794","0.13706584566231794"
"23","0.06641298624329597","0.06641298624329597","0.06641298624329597","0.06975629725171335","0.06975629725171335","0.06975629725171335","0.06965549438254638","0.06965549438254638","0.06965549438254638","0.1302824578663838","0.1302824578663838","0.1302824578663838"
"24","0.07311062789375677","0.07311062789375677","0.07311062789375677","0.06491302510477462","0.06491302510477462","0.06491302510477462","0.066910509259071","0.066910509259071","0.066910509259071","0.1345748931263228","0.1345748931263228","0.1345748931263228"
"25","0.06014987950992284","0.06014987950992284","0.06014987950992284","0.05947047896542639","0.05947047896542639","0.05947047896542639","0.06130605870447819","0.06130605870447819","0.06130605870447819","0.12679950624891798","0.12679950624891798","0.12679950624891798"
"26","0.05885204886021854","0.05885204886021854","0.05885204886021854","0.057077352899425435","0.057077352899425435","0.057077352899425435","0.06997104983472224","0.06997104983472224","0.06997104983472224","0.1278083568848904","0.1278083568848904","0.1278083568848904"
"27","0.057520913388931526","0.057520913388931526","0.057520913388931526","0.052903230830371004","0.052903230830371004","0.052903230830371004","0.07476282854031467","0.07476282854031467","0.07476282854031467","0.11398380215063035","0.11398380215063035","0.11398380215063035"
"28","0.05361062763434536","0.05361062763434536","0.05361062763434536","0.05058703596861857","0.05058703596861857","0.05058703596861857","0.06511476662173961","0.06511476662173961","0.06511476662173961","0.10757662803871827","0.10757662803871827","0.10757662803871827"
"29","0.05185419040843376","0.05185419040843376","0.05185419040843376","0.05018980399992481","0.05018980399992481","0.05018980399992481","0.06741770452485894","0.06741770452485894","0.06741770452485894","0.11252359772253337","0.11252359772253337","0.11252359772253337"
"30","0.05165324833408092","0.05165324833408092","0.05165324833408092","0.050587111214796705","0.050587111214796705","0.050587111214796705","0.06544487729387463","0.06544487729387463","0.06544487729387463","0.10296728477912878","0.10296728477912878","0.10296728477912878"
"31","0.050484760602315264","0.050484760602315264","0.050484760602315264","0.050046145531741325","0.050046145531741325","0.050046145531741325","0.05706313065013046","0.05706313065013046","0.05706313065013046","0.10352424021411992","0.10352424021411992","0.10352424021411992"
"32","0.0554006778219211","0.0554006778219211","0.0554006778219211","0.046963751142692266","0.046963751142692266","0.046963751142692266","0.055361189585436815","0.055361189585436815","0.055361189585436815","0.10209257792002001","0.10209257792002001","0.10209257792002001"
"33","0.052514902197714874","0.052514902197714874","0.052514902197714874","0.04614344928999367","0.04614344928999367","0.04614344928999367","0.05433049850025267","0.05433049850025267","0.05433049850025267","0.1116375634317878","0.1116375634317878","0.1116375634317878"
"34","0.05201007417350445","0.05201007417350445","0.05201007417350445","0.050610985878690985","0.050610985878690985","0.050610985878690985","0.05501391357220944","0.05501391357220944","0.05501391357220944","0.1039653034705036","0.1039653034705036","0.1039653034705036"
"35","0.05181349258190431","0.05181349258190431","0.05181349258190431","0.049700538411080464","0.049700538411080464","0.049700538411080464","0.052055323489432065","0.052055323489432065","0.052055323489432065","0.10237002488014833","0.10237002488014833","0.10237002488014833"
"36","0.045656534242180156","0.045656534242180156","0.045656534242180156","0.050216197117038494","0.050216197117038494","0.050216197117038494","0.052875181076661594","0.052875181076661594","0.052875181076661594","0.09388898329914741","0.09388898329914741","0.09388898329914741"
"37","0.047503801336828265","0.047503801336828265","0.047503801336828265","0.04768836261622561","0.04768836261622561","0.04768836261622561","0.05333237816702645","0.05333237816702645","0.05333237816702645","0.0897013210135061","0.0897013210135061","0.0897013210135061"
"38","0.045177890013598794","0.045177890013598794","0.045177890013598794","0.0454461729751443","0.0454461729751443","0.0454461729751443","0.06939589349353838","0.06939589349353838","0.06939589349353838","0.08440531474426857","0.08440531474426857","0.08440531474426857"
"39","0.044201708800575265","0.044201708800575265","0.044201708800575265","0.04851421462664814","0.04851421462664814","0.04851421462664814","0.055751056378742433","0.055751056378742433","0.055751056378742433","0.08908481596026031","0.08908481596026031","0.08908481596026031"
