"Step","trim-frost-110 - train_loss","trim-frost-110 - train_loss__MIN","trim-frost-110 - train_loss__MAX","lyric-energy-103 - train_loss","lyric-energy-103 - train_loss__MIN","lyric-energy-103 - train_loss__MAX","rose-puddle-95 - train_loss","rose-puddle-95 - train_loss__MIN","rose-puddle-95 - train_loss__MAX","lively-wave-77 - train_loss","lively-wave-77 - train_loss__MIN","lively-wave-77 - train_loss__MAX"
"0","0.44299686348663186","0.44299686348663186","0.44299686348663186","0.4257837841345829","0.4257837841345829","0.4257837841345829","0.44905433671654393","0.44905433671654393","0.44905433671654393","0.548684071969686","0.548684071969686","0.548684071969686"
"1","0.2078629673651929","0.2078629673651929","0.2078629673651929","0.20707922302327067","0.20707922302327067","0.20707922302327067","0.22509852232610655","0.22509852232610655","0.22509852232610655","0.4930660730637844","0.4930660730637844","0.4930660730637844"
"2","0.17535666225466337","0.17535666225466337","0.17535666225466337","0.17734548546983012","0.17734548546983012","0.17734548546983012","0.1921857460583531","0.1921857460583531","0.1921857460583531","0.4035704918627469","0.4035704918627469","0.4035704918627469"
"3","0.15507822591553694","0.15507822591553694","0.15507822591553694","0.1729689174665595","0.1729689174665595","0.1729689174665595","0.17492302674917304","0.17492302674917304","0.17492302674917304","0.33920686728549454","0.33920686728549454","0.33920686728549454"
"4","0.14296911326032014","0.14296911326032014","0.14296911326032014","0.15391273099296499","0.15391273099296499","0.15391273099296499","0.17621759531445474","0.17621759531445474","0.17621759531445474","0.3110159435362186","0.3110159435362186","0.3110159435362186"
"5","0.12310492578167585","0.12310492578167585","0.12310492578167585","0.12668750278604857","0.12668750278604857","0.12668750278604857","0.13969657649783968","0.13969657649783968","0.13969657649783968","0.28613257434383127","0.28613257434383127","0.28613257434383127"
"6","0.1156387985314963","0.1156387985314963","0.1156387985314963","0.13948460876379373","0.13948460876379373","0.13948460876379373","0.12890306954863687","0.12890306954863687","0.12890306954863687","0.26946036317063576","0.26946036317063576","0.26946036317063576"
"7","0.10997140013009497","0.10997140013009497","0.10997140013009497","0.11992421830600163","0.11992421830600163","0.11992421830600163","0.12699879126728705","0.12699879126728705","0.12699879126728705","0.2584881863878958","0.2584881863878958","0.2584881863878958"
"8","0.1075630878689904","0.1075630878689904","0.1075630878689904","0.1062033677063648","0.1062033677063648","0.1062033677063648","0.11630010044424789","0.11630010044424789","0.11630010044424789","0.229781969482044","0.229781969482044","0.229781969482044"
"9","0.10591600217721747","0.10591600217721747","0.10591600217721747","0.09607976412623183","0.09607976412623183","0.09607976412623183","0.10449284879291583","0.10449284879291583","0.10449284879291583","0.22342590151717828","0.22342590151717828","0.22342590151717828"
"10","0.08793373799080369","0.08793373799080369","0.08793373799080369","0.09761175522639316","0.09761175522639316","0.09761175522639316","0.09746044765478411","0.09746044765478411","0.09746044765478411","0.2179379826259313","0.2179379826259313","0.2179379826259313"
"11","0.0837330532804975","0.0837330532804975","0.0837330532804975","0.09179853175608617","0.09179853175608617","0.09179853175608617","0.09752802299628467","0.09752802299628467","0.09752802299628467","0.19673530367560357","0.19673530367560357","0.19673530367560357"
"12","0.08260417679945628","0.08260417679945628","0.08260417679945628","0.08763074946103606","0.08763074946103606","0.08763074946103606","0.10133589864152033","0.10133589864152033","0.10133589864152033","0.1962879641813302","0.1962879641813302","0.1962879641813302"
"13","0.07378435707036055","0.07378435707036055","0.07378435707036055","0.08105697241969079","0.08105697241969079","0.08105697241969079","0.08949825913651184","0.08949825913651184","0.08949825913651184","0.19404194805794542","0.19404194805794542","0.19404194805794542"
"14","0.0729670264342296","0.0729670264342296","0.0729670264342296","0.07699970938499619","0.07699970938499619","0.07699970938499619","0.09169746414295532","0.09169746414295532","0.09169746414295532","0.18139284931638705","0.18139284931638705","0.18139284931638705"
"15","0.07874373687700656","0.07874373687700656","0.07874373687700656","0.07417164365263106","0.07417164365263106","0.07417164365263106","0.0854245199488019","0.0854245199488019","0.0854245199488019","0.1739174205926979","0.1739174205926979","0.1739174205926979"
"16","0.07898117184826413","0.07898117184826413","0.07898117184826413","0.06976853293489735","0.06976853293489735","0.06976853293489735","0.08457871819817045","0.08457871819817045","0.08457871819817045","0.16344937449731167","0.16344937449731167","0.16344937449731167"
