"Step","lively-mountain-127 - train_PixelAccuracy","lively-mountain-127 - train_PixelAccuracy__MIN","lively-mountain-127 - train_PixelAccuracy__MAX","youthful-brook-67 - train_PixelAccuracy","youthful-brook-67 - train_PixelAccuracy__MIN","youthful-brook-67 - train_PixelAccuracy__MAX"
"0","0.5040676430907373","0.5040676430907373","0.5040676430907373","0.8502514299198237","0.8502514299198237","0.8502514299198237"
"1","0.6566564060905307","0.6566564060905307","0.6566564060905307","0.8805728489522752","0.8805728489522752","0.8805728489522752"
"2","0.7068067607787432","0.7068067607787432","0.7068067607787432","0.8952999089570255","0.8952999089570255","0.8952999089570255"
"3","0.7338912046611624","0.7338912046611624","0.7338912046611624","0.8994926119432934","0.8994926119432934","0.8994926119432934"
"4","0.7471003152016726","0.7471003152016726","0.7471003152016726","0.9160733892011779","0.9160733892011779","0.9160733892011779"
"5","0.7544135783200204","0.7544135783200204","0.7544135783200204","0.9160796150252846","0.9160796150252846","0.9160796150252846"
"6","0.7624087607224391","0.7624087607224391","0.7624087607224391","0.9271837641544797","0.9271837641544797","0.9271837641544797"
"7","0.7711807400095211","0.7711807400095211","0.7711807400095211","0.9307744344531459","0.9307744344531459","0.9307744344531459"
"8","0.7750196506393302","0.7750196506393302","0.7750196506393302","0.9341741094720837","0.9341741094720837","0.9341741094720837"
"9","0.778996165916721","0.778996165916721","0.778996165916721","0.9377073942330831","0.9377073942330831","0.9377073942330831"
"10","0.7882946212854134","0.7882946212854134","0.7882946212854134","0.9415849495101841","0.9415849495101841","0.9415849495101841"
"11","0.7883414892637035","0.7883414892637035","0.7883414892637035","0.9361786107190909","0.9361786107190909","0.9361786107190909"
"12","0.7920282422335151","0.7920282422335151","0.7920282422335151","0.9470579671834434","0.9470579671834434","0.9470579671834434"
"13","0.7935341823125001","0.7935341823125001","0.7935341823125001","0.9321822429150886","0.9321822429150886","0.9321822429150886"
"14","0.7973714273739512","0.7973714273739512","0.7973714273739512","0.9442256136197528","0.9442256136197528","0.9442256136197528"
"15","0.800311052063973","0.800311052063973","0.800311052063973","0.9485525570989218","0.9485525570989218","0.9485525570989218"
"16","0.8008763928171219","0.8008763928171219","0.8008763928171219","0.953347280159686","0.953347280159686","0.953347280159686"
"17","0.8021071194306498","0.8021071194306498","0.8021071194306498","0.9551829921807325","0.9551829921807325","0.9551829921807325"
"18","0.8010132225444163","0.8010132225444163","0.8010132225444163","0.9515260587796913","0.9515260587796913","0.9515260587796913"
"19","0.8052847324356195","0.8052847324356195","0.8052847324356195","0.9570363071756554","0.9570363071756554","0.9570363071756554"
"20","0.8054833904811525","0.8054833904811525","0.8054833904811525","0.954035492763364","0.954035492763364","0.954035492763364"
"21","0.8102598422775509","0.8102598422775509","0.8102598422775509","0.9554335082918547","0.9554335082918547","0.9554335082918547"
"22","0.8110885511688941","0.8110885511688941","0.8110885511688941","0.9579325326776568","0.9579325326776568","0.9579325326776568"
"23","0.810033685548351","0.810033685548351","0.810033685548351","0.9560908282375962","0.9560908282375962","0.9560908282375962"
"24","0.8104664445886359","0.8104664445886359","0.8104664445886359","0.9583503458463212","0.9583503458463212","0.9583503458463212"
"25","0.812334481725752","0.812334481725752","0.812334481725752","0.9612336104763384","0.9612336104763384","0.9612336104763384"
"26","0.8152859111220097","0.8152859111220097","0.8152859111220097","0.9637561627882641","0.9637561627882641","0.9637561627882641"
"27","0.8102539111198304","0.8102539111198304","0.8102539111198304","0.9610261344974521","0.9610261344974521","0.9610261344974521"
"28","0.8159016405558446","0.8159016405558446","0.8159016405558446","0.9625829969215886","0.9625829969215886","0.9625829969215886"
"29","0.8170386237539101","0.8170386237539101","0.8170386237539101","0.9621813568600257","0.9621813568600257","0.9621813568600257"
"30","0.8181678415000921","0.8181678415000921","0.8181678415000921","0.9633240158305083","0.9633240158305083","0.9633240158305083"
"31","0.8194789296545569","0.8194789296545569","0.8194789296545569","0.9648787850531425","0.9648787850531425","0.9648787850531425"
"32","0.8211767771492369","0.8211767771492369","0.8211767771492369","0.9649725914062801","0.9649725914062801","0.9649725914062801"
"33","0.819716020978972","0.819716020978972","0.819716020978972","0.9670996704895494","0.9670996704895494","0.9670996704895494"
"34","0.8235467336856465","0.8235467336856465","0.8235467336856465","0.9654018647835798","0.9654018647835798","0.9654018647835798"
"35","0.8201922693802919","0.8201922693802919","0.8201922693802919","0.9675143977097614","0.9675143977097614","0.9675143977097614"
"36","0.823853971366914","0.823853971366914","0.823853971366914","0.9666888140539969","0.9666888140539969","0.9666888140539969"
"37","0.8187132513248799","0.8187132513248799","0.8187132513248799","0.9668993562837286","0.9668993562837286","0.9668993562837286"
"38","0.8211393069011815","0.8211393069011815","0.8211393069011815","0.9658343163135726","0.9658343163135726","0.9658343163135726"
"39","0.8201360380540589","0.8201360380540589","0.8201360380540589","0.9666611082929758","0.9666611082929758","0.9666611082929758"
