"Step","lunar-energy-183 - train_PixelAccuracy","lunar-energy-183 - train_PixelAccuracy__MIN","lunar-energy-183 - train_PixelAccuracy__MAX","solar-spaceship-178 - train_PixelAccuracy","solar-spaceship-178 - train_PixelAccuracy__MIN","solar-spaceship-178 - train_PixelAccuracy__MAX","honest-plasma-175 - train_PixelAccuracy","honest-plasma-175 - train_PixelAccuracy__MIN","honest-plasma-175 - train_PixelAccuracy__MAX","trim-frost-110 - train_PixelAccuracy","trim-frost-110 - train_PixelAccuracy__MIN","trim-frost-110 - train_PixelAccuracy__MAX"
"0","0.6852055027213662","0.6852055027213662","0.6852055027213662","0.3754356834105812","0.3754356834105812","0.3754356834105812","0.2370470307828514","0.2370470307828514","0.2370470307828514","0.8510415304690149","0.8510415304690149","0.8510415304690149"
"1","0.7562073830578817","0.7562073830578817","0.7562073830578817","0.6770013707168582","0.6770013707168582","0.6770013707168582","0.2961582255902769","0.2961582255902769","0.2961582255902769","0.8803130395203762","0.8803130395203762","0.8803130395203762"
"2","0.783360780543984","0.783360780543984","0.783360780543984","0.7464130470635988","0.7464130470635988","0.7464130470635988","0.321950514838757","0.321950514838757","0.321950514838757","0.8901034637316243","0.8901034637316243","0.8901034637316243"
"3","0.7945484454004729","0.7945484454004729","0.7945484454004729","0.7633825910238785","0.7633825910238785","0.7633825910238785","0.3360476985335855","0.3360476985335855","0.3360476985335855","0.9042792137544914","0.9042792137544914","0.9042792137544914"
"4","0.784265730885307","0.784265730885307","0.784265730885307","0.7902186391794326","0.7902186391794326","0.7902186391794326","0.38600454181864036","0.38600454181864036","0.38600454181864036","0.9144238350102034","0.9144238350102034","0.9144238350102034"
"5","0.8041731634228122","0.8041731634228122","0.8041731634228122","0.7975938563346983","0.7975938563346983","0.7975938563346983","0.39258693576382336","0.39258693576382336","0.39258693576382336","0.9258934532845176","0.9258934532845176","0.9258934532845176"
"6","0.8101812680829746","0.8101812680829746","0.8101812680829746","0.8060692306749161","0.8060692306749161","0.8060692306749161","0.40908860237514905","0.40908860237514905","0.40908860237514905","0.9278118022657244","0.9278118022657244","0.9278118022657244"
"7","0.8205222745783596","0.8205222745783596","0.8205222745783596","0.8072721966207587","0.8072721966207587","0.8072721966207587","0.4128311476805414","0.4128311476805414","0.4128311476805414","0.9312297292143039","0.9312297292143039","0.9312297292143039"
"8","0.805517104040724","0.805517104040724","0.805517104040724","0.7990280636296487","0.7990280636296487","0.7990280636296487","0.42208073866771717","0.42208073866771717","0.42208073866771717","0.9300232226405826","0.9300232226405826","0.9300232226405826"
"9","0.8206641774563567","0.8206641774563567","0.8206641774563567","0.818011933784236","0.818011933784236","0.818011933784236","0.4253738239461311","0.4253738239461311","0.4253738239461311","0.9381934037552382","0.9381934037552382","0.9381934037552382"
"10","0.8524075886360887","0.8524075886360887","0.8524075886360887","0.8770467703951277","0.8770467703951277","0.8770467703951277","0.8036754283377436","0.8036754283377436","0.8036754283377436","0.9428252227190891","0.9428252227190891","0.9428252227190891"
"11","0.8745925435747017","0.8745925435747017","0.8745925435747017","0.8587957879296071","0.8587957879296071","0.8587957879296071","0.8533240516367996","0.8533240516367996","0.8533240516367996","0.9411754712015785","0.9411754712015785","0.9411754712015785"
"12","0.8904378614341615","0.8904378614341615","0.8904378614341615","0.8978192737520977","0.8978192737520977","0.8978192737520977","0.8634152376378098","0.8634152376378098","0.8634152376378098","0.9482188739365645","0.9482188739365645","0.9482188739365645"
"13","0.8845727882647517","0.8845727882647517","0.8845727882647517","0.9016068532001078","0.9016068532001078","0.9016068532001078","0.8627240779748439","0.8627240779748439","0.8627240779748439","0.9503982746988177","0.9503982746988177","0.9503982746988177"
"14","0.9049307265051084","0.9049307265051084","0.9049307265051084","0.9115377513324462","0.9115377513324462","0.9115377513324462","0.8734136924918586","0.8734136924918586","0.8734136924918586","0.950465814311253","0.950465814311253","0.950465814311253"
"15","0.9033312451428628","0.9033312451428628","0.9033312451428628","0.9210656725449751","0.9210656725449751","0.9210656725449751","0.8712432205562654","0.8712432205562654","0.8712432205562654","0.9482012478305136","0.9482012478305136","0.9482012478305136"
"16","0.912829207285462","0.912829207285462","0.912829207285462","0.925288235671925","0.925288235671925","0.925288235671925","0.8697740070722499","0.8697740070722499","0.8697740070722499","0.9475063452602227","0.9475063452602227","0.9475063452602227"
"17","0.925017063596368","0.925017063596368","0.925017063596368","0.9298022554767671","0.9298022554767671","0.9298022554767671","0.8751589146356671","0.8751589146356671","0.8751589146356671","0.9539207993740053","0.9539207993740053","0.9539207993740053"
"18","0.9285872109939528","0.9285872109939528","0.9285872109939528","0.9273996196183879","0.9273996196183879","0.9273996196183879","0.875632809799171","0.875632809799171","0.875632809799171","0.9538887076200423","0.9538887076200423","0.9538887076200423"
"19","0.9295280472245431","0.9295280472245431","0.9295280472245431","0.9335138914219013","0.9335138914219013","0.9335138914219013","0.8796111093200375","0.8796111093200375","0.8796111093200375","0.9515833650188906","0.9515833650188906","0.9515833650188906"
"20","0.926861123925965","0.926861123925965","0.926861123925965","0.9435046547649028","0.9435046547649028","0.9435046547649028","0.8781769989415612","0.8781769989415612","0.8781769989415612","0.9580398675209975","0.9580398675209975","0.9580398675209975"
"21","0.9365141675218801","0.9365141675218801","0.9365141675218801","0.9441848808782487","0.9441848808782487","0.9441848808782487","0.8720746650758909","0.8720746650758909","0.8720746650758909","0.9563411320429764","0.9563411320429764","0.9563411320429764"
"22","0.93851141823557","0.93851141823557","0.93851141823557","0.9423408752560699","0.9423408752560699","0.9423408752560699","0.8811755768381792","0.8811755768381792","0.8811755768381792","0.9511488178377356","0.9511488178377356","0.9511488178377356"
"23","0.9392375056952452","0.9392375056952452","0.9392375056952452","0.9498415533899044","0.9498415533899044","0.9498415533899044","0.8820209533306339","0.8820209533306339","0.8820209533306339","0.9531412320952953","0.9531412320952953","0.9531412320952953"
"24","0.9427204655822164","0.9427204655822164","0.9427204655822164","0.9477687490481012","0.9477687490481012","0.9477687490481012","0.8790316745291902","0.8790316745291902","0.8790316745291902","0.9544261848083199","0.9544261848083199","0.9544261848083199"
"25","0.9432879359306857","0.9432879359306857","0.9432879359306857","0.951053165266265","0.951053165266265","0.951053165266265","0.8829071114533543","0.8829071114533543","0.8829071114533543","0.9600309292601936","0.9600309292601936","0.9600309292601936"
"26","0.9432779123808885","0.9432779123808885","0.9432779123808885","0.9512494375331524","0.9512494375331524","0.9512494375331524","0.8831914291380368","0.8831914291380368","0.8831914291380368","0.961802720916944","0.961802720916944","0.961802720916944"
"27","0.9484370818480328","0.9484370818480328","0.9484370818480328","0.9547232548911959","0.9547232548911959","0.9547232548911959","0.8819016183495562","0.8819016183495562","0.8819016183495562","0.9621724653077514","0.9621724653077514","0.9621724653077514"
"28","0.9458774114308264","0.9458774114308264","0.9458774114308264","0.9493364725636785","0.9493364725636785","0.9493364725636785","0.9051743914041929","0.9051743914041929","0.9051743914041929","0.9645148567223085","0.9645148567223085","0.9645148567223085"
"29","0.9456928109875662","0.9456928109875662","0.9456928109875662","0.9561334484717079","0.9561334484717079","0.9561334484717079","0.9089720886970775","0.9089720886970775","0.9089720886970775","0.9643967097073789","0.9643967097073789","0.9643967097073789"
"30","0.9503283009748152","0.9503283009748152","0.9503283009748152","0.955632882397476","0.955632882397476","0.955632882397476","0.9120992400303297","0.9120992400303297","0.9120992400303297","0.9663053235507904","0.9663053235507904","0.9663053235507904"
"31","0.9509224058240688","0.9509224058240688","0.9509224058240688","0.9596977170045639","0.9596977170045639","0.9596977170045639","0.9190416441238748","0.9190416441238748","0.9190416441238748","0.9553249249948507","0.9553249249948507","0.9553249249948507"
"32","0.9502614580462028","0.9502614580462028","0.9502614580462028","0.9497853507286863","0.9497853507286863","0.9497853507286863","0.9211976285249867","0.9211976285249867","0.9211976285249867","0.9645004157353414","0.9645004157353414","0.9645004157353414"
"33","0.9544617961786447","0.9544617961786447","0.9544617961786447","0.9556375127273827","0.9556375127273827","0.9556375127273827","0.9248662535719578","0.9248662535719578","0.9248662535719578","0.9652031258753111","0.9652031258753111","0.9652031258753111"
"34","0.9551181762630341","0.9551181762630341","0.9551181762630341","0.9571751741862637","0.9571751741862637","0.9571751741862637","0.929591463805621","0.929591463805621","0.929591463805621","0.9659471444912842","0.9659471444912842","0.9659471444912842"
"35","0.9547009103883377","0.9547009103883377","0.9547009103883377","0.9625405626313652","0.9625405626313652","0.9625405626313652","0.9303917400750703","0.9303917400750703","0.9303917400750703","0.9659775758733579","0.9659775758733579","0.9659775758733579"
"36","0.9558355938485195","0.9558355938485195","0.9558355938485195","0.9634325381510717","0.9634325381510717","0.9634325381510717","0.9314960320700283","0.9314960320700283","0.9314960320700283","0.9663969346885763","0.9663969346885763","0.9663969346885763"
"37","0.9557277930597751","0.9557277930597751","0.9557277930597751","0.9617800986949555","0.9617800986949555","0.9617800986949555","0.9337360540953661","0.9337360540953661","0.9337360540953661","0.9670910028788492","0.9670910028788492","0.9670910028788492"
"38","0.9593378981259207","0.9593378981259207","0.9593378981259207","0.9621880088219238","0.9621880088219238","0.9621880088219238","0.9425909563552998","0.9425909563552998","0.9425909563552998","0.9667460025973666","0.9667460025973666","0.9667460025973666"
"39","0.9581367105490777","0.9581367105490777","0.9581367105490777","0.9598879501758781","0.9598879501758781","0.9598879501758781","0.9443239940792082","0.9443239940792082","0.9443239940792082","0.9688628384266289","0.9688628384266289","0.9688628384266289"
"40","","","","","","","0.9397280285494183","0.9397280285494183","0.9397280285494183","","",""
"41","","","","","","","0.9449695444946729","0.9449695444946729","0.9449695444946729","","",""
"42","","","","","","","0.9491355400303948","0.9491355400303948","0.9491355400303948","","",""
"43","","","","","","","0.9408676871584845","0.9408676871584845","0.9408676871584845","","",""
"44","","","","","","","0.9528154921127221","0.9528154921127221","0.9528154921127221","","",""
"45","","","","","","","0.9487680081630511","0.9487680081630511","0.9487680081630511","","",""
