"Step","lunar-energy-183 - train_loss","lunar-energy-183 - train_loss__MIN","lunar-energy-183 - train_loss__MAX","solar-spaceship-178 - train_loss","solar-spaceship-178 - train_loss__MIN","solar-spaceship-178 - train_loss__MAX","honest-plasma-175 - train_loss","honest-plasma-175 - train_loss__MIN","honest-plasma-175 - train_loss__MAX","trim-frost-110 - train_loss","trim-frost-110 - train_loss__MIN","trim-frost-110 - train_loss__MAX"
"0","1.0304134562330427","1.0304134562330427","1.0304134562330427","0.5648828504970239","0.5648828504970239","0.5648828504970239","1.2178181207404946","1.2178181207404946","1.2178181207404946","0.44299686348663186","0.44299686348663186","0.44299686348663186"
"1","0.5460340615338499","0.5460340615338499","0.5460340615338499","0.3779394324470616","0.3779394324470616","0.3779394324470616","1.1683719548039466","1.1683719548039466","1.1683719548039466","0.2078629673651929","0.2078629673651929","0.2078629673651929"
"2","0.4682996284661803","0.4682996284661803","0.4682996284661803","0.24397132447305717","0.24397132447305717","0.24397132447305717","1.140676963104392","1.140676963104392","1.140676963104392","0.17535666225466337","0.17535666225466337","0.17535666225466337"
"3","0.4225117965689245","0.4225117965689245","0.4225117965689245","0.2139897272646802","0.2139897272646802","0.2139897272646802","1.1278812964757283","1.1278812964757283","1.1278812964757283","0.15507822591553694","0.15507822591553694","0.15507822591553694"
"4","0.4207910167721083","0.4207910167721083","0.4207910167721083","0.18858245410634286","0.18858245410634286","0.18858245410634286","1.1119598226727179","1.1119598226727179","1.1119598226727179","0.14296911326032014","0.14296911326032014","0.14296911326032014"
"5","0.3464548174690151","0.3464548174690151","0.3464548174690151","0.17487359041312955","0.17487359041312955","0.17487359041312955","1.1043206444326437","1.1043206444326437","1.1043206444326437","0.12310492578167585","0.12310492578167585","0.12310492578167585"
"6","0.339250825636042","0.339250825636042","0.339250825636042","0.1695532353231742","0.1695532353231742","0.1695532353231742","1.0939779891907795","1.0939779891907795","1.0939779891907795","0.1156387985314963","0.1156387985314963","0.1156387985314963"
"7","0.3096463162006822","0.3096463162006822","0.3096463162006822","0.1584412510477522","0.1584412510477522","0.1584412510477522","1.089619568458893","1.089619568458893","1.089619568458893","0.10997140013009497","0.10997140013009497","0.10997140013009497"
"8","0.3211087673902512","0.3211087673902512","0.3211087673902512","0.15472746787581054","0.15472746787581054","0.15472746787581054","1.0836862612070528","1.0836862612070528","1.0836862612070528","0.1075630878689904","0.1075630878689904","0.1075630878689904"
"9","0.3202393372666161","0.3202393372666161","0.3202393372666161","0.15175711467580974","0.15175711467580974","0.15175711467580974","1.082165252037768","1.082165252037768","1.082165252037768","0.10591600217721747","0.10591600217721747","0.10591600217721747"
"10","0.2957975589629239","0.2957975589629239","0.2957975589629239","0.12718486954581062","0.12718486954581062","0.12718486954581062","0.8500165359778974","0.8500165359778974","0.8500165359778974","0.08793373799080369","0.08793373799080369","0.08793373799080369"
"11","0.25468584240982367","0.25468584240982367","0.25468584240982367","0.10897504676063106","0.10897504676063106","0.10897504676063106","0.6094090194072364","0.6094090194072364","0.6094090194072364","0.0837330532804975","0.0837330532804975","0.0837330532804975"
"12","0.21569526880604667","0.21569526880604667","0.21569526880604667","0.09777902591528383","0.09777902591528383","0.09777902591528383","0.4900959405884053","0.4900959405884053","0.4900959405884053","0.08260417679945628","0.08260417679945628","0.08260417679945628"
"13","0.1932511216626977","0.1932511216626977","0.1932511216626977","0.08457116566176684","0.08457116566176684","0.08457116566176684","0.43349359500333196","0.43349359500333196","0.43349359500333196","0.07378435707036055","0.07378435707036055","0.07378435707036055"
"14","0.17548019929127123","0.17548019929127123","0.17548019929127123","0.07340132300771257","0.07340132300771257","0.07340132300771257","0.38542283169878355","0.38542283169878355","0.38542283169878355","0.0729670264342296","0.0729670264342296","0.0729670264342296"
"15","0.17246762774650407","0.17246762774650407","0.17246762774650407","0.06887599517995456","0.06887599517995456","0.06887599517995456","0.3493597224823334","0.3493597224823334","0.3493597224823334","0.07874373687700656","0.07874373687700656","0.07874373687700656"
"16","0.15906417126175743","0.15906417126175743","0.15906417126175743","0.061092542196219825","0.061092542196219825","0.061092542196219825","0.32448847921764323","0.32448847921764323","0.32448847921764323","0.07898117184826413","0.07898117184826413","0.07898117184826413"
"17","0.13922165832804434","0.13922165832804434","0.13922165832804434","0.06047996805055336","0.06047996805055336","0.06047996805055336","0.31132065635057365","0.31132065635057365","0.31132065635057365","0.0701255590473331","0.0701255590473331","0.0701255590473331"
"18","0.12691119661870992","0.12691119661870992","0.12691119661870992","0.05707084750698048","0.05707084750698048","0.05707084750698048","0.29131838023287693","0.29131838023287693","0.29131838023287693","0.06947368946652742","0.06947368946652742","0.06947368946652742"
"19","0.12027335285015826","0.12027335285015826","0.12027335285015826","0.05580118693083337","0.05580118693083337","0.05580118693083337","0.27427580249759387","0.27427580249759387","0.27427580249759387","0.06644803055052487","0.06644803055052487","0.06644803055052487"
"20","0.11439478571684855","0.11439478571684855","0.11439478571684855","0.04775518265628965","0.04775518265628965","0.04775518265628965","0.256415882013129","0.256415882013129","0.256415882013129","0.06648787131661889","0.06648787131661889","0.06648787131661889"
