"Step","lunar-energy-183 - train_mIoU","lunar-energy-183 - train_mIoU__MIN","lunar-energy-183 - train_mIoU__MAX","solar-spaceship-178 - train_mIoU","solar-spaceship-178 - train_mIoU__MIN","solar-spaceship-178 - train_mIoU__MAX","honest-plasma-175 - train_mIoU","honest-plasma-175 - train_mIoU__MIN","honest-plasma-175 - train_mIoU__MAX","trim-frost-110 - train_mIoU","trim-frost-110 - train_mIoU__MIN","trim-frost-110 - train_mIoU__MAX"
"0","0.39960059829788136","0.39960059829788136","0.39960059829788136","0.07885558870914901","0.07885558870914901","0.07885558870914901","0.0634746136733969","0.0634746136733969","0.0634746136733969","0.6468148122647339","0.6468148122647339","0.6468148122647339"
"1","0.5504303576676686","0.5504303576676686","0.5504303576676686","0.3213046444492806","0.3213046444492806","0.3213046444492806","0.08858789615772009","0.08858789615772009","0.08858789615772009","0.7025819357635161","0.7025819357635161","0.7025819357635161"
"2","0.5666718876795506","0.5666718876795506","0.5666718876795506","0.43419308705067006","0.43419308705067006","0.43419308705067006","0.11085673995348487","0.11085673995348487","0.11085673995348487","0.7117329152990559","0.7117329152990559","0.7117329152990559"
"3","0.6059740357308118","0.6059740357308118","0.6059740357308118","0.4744999536429585","0.4744999536429585","0.4744999536429585","0.12888074607539404","0.12888074607539404","0.12888074607539404","0.7359023649789113","0.7359023649789113","0.7359023649789113"
"4","0.5902559199395532","0.5902559199395532","0.5902559199395532","0.5526144919332847","0.5526144919332847","0.5526144919332847","0.15724108379541535","0.15724108379541535","0.15724108379541535","0.7557349589335606","0.7557349589335606","0.7557349589335606"
"5","0.6085757935567516","0.6085757935567516","0.6085757935567516","0.578776539634844","0.578776539634844","0.578776539634844","0.16902696766417374","0.16902696766417374","0.16902696766417374","0.7751191332163679","0.7751191332163679","0.7751191332163679"
"6","0.6220423153586935","0.6220423153586935","0.6220423153586935","0.5884991520134549","0.5884991520134549","0.5884991520134549","0.1900412881395868","0.1900412881395868","0.1900412881395868","0.7784722844068158","0.7784722844068158","0.7784722844068158"
"7","0.6323523605867789","0.6323523605867789","0.6323523605867789","0.6068336622944476","0.6068336622944476","0.6068336622944476","0.1959842514248652","0.1959842514248652","0.1959842514248652","0.7865424466499011","0.7865424466499011","0.7865424466499011"
"8","0.6192985814828044","0.6192985814828044","0.6192985814828044","0.5940262338726271","0.5940262338726271","0.5940262338726271","0.20170811044874642","0.20170811044874642","0.20170811044874642","0.7812993049884887","0.7812993049884887","0.7812993049884887"
"9","0.637748641336782","0.637748641336782","0.637748641336782","0.6187317183352035","0.6187317183352035","0.6187317183352035","0.20626611573471088","0.20626611573471088","0.20626611573471088","0.7872114885543987","0.7872114885543987","0.7872114885543987"
