"Step","lunar-energy-183 - train_mIoU","lunar-energy-183 - train_mIoU__MIN","lunar-energy-183 - train_mIoU__MAX","solar-spaceship-178 - train_mIoU","solar-spaceship-178 - train_mIoU__MIN","solar-spaceship-178 - train_mIoU__MAX","honest-plasma-175 - train_mIoU","honest-plasma-175 - train_mIoU__MIN","honest-plasma-175 - train_mIoU__MAX","trim-frost-110 - train_mIoU","trim-frost-110 - train_mIoU__MIN","trim-frost-110 - train_mIoU__MAX"
"10","0.7012167146196115","0.7012167146196115","0.7012167146196115","0.7394567544837555","0.7394567544837555","0.7394567544837555","0.5156048251715046","0.5156048251715046","0.5156048251715046","0.805086909684623","0.805086909684623","0.805086909684623"
"11","0.7014762458280243","0.7014762458280243","0.7014762458280243","0.7271293931978605","0.7271293931978605","0.7271293931978605","0.624660141764264","0.624660141764264","0.624660141764264","0.8069742560634224","0.8069742560634224","0.8069742560634224"
"12","0.7478904764453632","0.7478904764453632","0.7478904764453632","0.7724951507470887","0.7724951507470887","0.7724951507470887","0.6660215671151685","0.6660215671151685","0.6660215671151685","0.8141043295508269","0.8141043295508269","0.8141043295508269"
"13","0.7616938989401109","0.7616938989401109","0.7616938989401109","0.7914246099135998","0.7914246099135998","0.7914246099135998","0.6763621159299615","0.6763621159299615","0.6763621159299615","0.8186636009133561","0.8186636009133561","0.8186636009133561"
"14","0.782601058758278","0.782601058758278","0.782601058758278","0.8026074099587573","0.8026074099587573","0.8026074099587573","0.7007869216040772","0.7007869216040772","0.7007869216040772","0.8206421091751774","0.8206421091751774","0.8206421091751774"
"15","0.7912840649235782","0.7912840649235782","0.7912840649235782","0.8140292255158587","0.8140292255158587","0.8140292255158587","0.6986214059428548","0.6986214059428548","0.6986214059428548","0.8100613770589848","0.8100613770589848","0.8100613770589848"
"16","0.8021468570696488","0.8021468570696488","0.8021468570696488","0.8245622162808104","0.8245622162808104","0.8245622162808104","0.7025560823540201","0.7025560823540201","0.7025560823540201","0.8160412437742383","0.8160412437742383","0.8160412437742383"
"17","0.8192313148325412","0.8192313148325412","0.8192313148325412","0.8419557320712895","0.8419557320712895","0.8419557320712895","0.7070145715841067","0.7070145715841067","0.7070145715841067","0.8234287782257372","0.8234287782257372","0.8234287782257372"
"18","0.8355558989198723","0.8355558989198723","0.8355558989198723","0.8382339444516224","0.8382339444516224","0.8382339444516224","0.7105822457673319","0.7105822457673319","0.7105822457673319","0.8256208405726648","0.8256208405726648","0.8256208405726648"
"19","0.8345560433420456","0.8345560433420456","0.8345560433420456","0.8487856559329813","0.8487856559329813","0.8487856559329813","0.7139383903880088","0.7139383903880088","0.7139383903880088","0.8256258915145771","0.8256258915145771","0.8256258915145771"
"20","0.8373993370466344","0.8373993370466344","0.8373993370466344","0.8626501264777885","0.8626501264777885","0.8626501264777885","0.7131538224331195","0.7131538224331195","0.7131538224331195","0.8353579608814454","0.8353579608814454","0.8353579608814454"
"21","0.8537877284155754","0.8537877284155754","0.8537877284155754","0.8682269697979319","0.8682269697979319","0.8682269697979319","0.7028592734793069","0.7028592734793069","0.7028592734793069","0.8326332570075557","0.8326332570075557","0.8326332570075557"
"22","0.8578289544437656","0.8578289544437656","0.8578289544437656","0.8582676437834115","0.8582676437834115","0.8582676437834115","0.719247222592137","0.719247222592137","0.719247222592137","0.8280794593398745","0.8280794593398745","0.8280794593398745"
"23","0.8469223802416666","0.8469223802416666","0.8469223802416666","0.876666808061968","0.876666808061968","0.876666808061968","0.7187170956309572","0.7187170956309572","0.7187170956309572","0.8245564154390206","0.8245564154390206","0.8245564154390206"
"24","0.863929551617708","0.863929551617708","0.863929551617708","0.874457370927784","0.874457370927784","0.874457370927784","0.7154828923152101","0.7154828923152101","0.7154828923152101","0.8253552236910265","0.8253552236910265","0.8253552236910265"
"25","0.8658790657269744","0.8658790657269744","0.8658790657269744","0.8811649146540184","0.8811649146540184","0.8811649146540184","0.7228154479001383","0.7228154479001383","0.7228154479001383","0.8392822876543496","0.8392822876543496","0.8392822876543496"
"26","0.8618504233326247","0.8618504233326247","0.8618504233326247","0.8878487475133066","0.8878487475133066","0.8878487475133066","0.7286633604983532","0.7286633604983532","0.7286633604983532","0.8428690516037891","0.8428690516037891","0.8428690516037891"
"27","0.8768824913960458","0.8768824913960458","0.8768824913960458","0.8916282726082814","0.8916282726082814","0.8916282726082814","0.721887401919961","0.721887401919961","0.721887401919961","0.8434811204786533","0.8434811204786533","0.8434811204786533"
"28","0.8634514555679316","0.8634514555679316","0.8634514555679316","0.8821413467060459","0.8821413467060459","0.8821413467060459","0.7567001586626513","0.7567001586626513","0.7567001586626513","0.8464218510666827","0.8464218510666827","0.8464218510666827"
"29","0.8594678064920416","0.8594678064920416","0.8594678064920416","0.8936471322489988","0.8936471322489988","0.8936471322489988","0.7640568429877589","0.7640568429877589","0.7640568429877589","0.8465068470182743","0.8465068470182743","0.8465068470182743"
"30","0.8828799911258787","0.8828799911258787","0.8828799911258787","0.8919695001323007","0.8919695001323007","0.8919695001323007","0.7694346403023593","0.7694346403023593","0.7694346403023593","0.8531842031278709","0.8531842031278709","0.8531842031278709"
"31","0.8862207680045793","0.8862207680045793","0.8862207680045793","0.9001374799061033","0.9001374799061033","0.9001374799061033","0.783784669551237","0.783784669551237","0.783784669551237","0.8369854312710405","0.8369854312710405","0.8369854312710405"
"32","0.8783332262121338","0.8783332262121338","0.8783332262121338","0.8854672209129952","0.8854672209129952","0.8854672209129952","0.799842161614428","0.799842161614428","0.799842161614428","0.8464146304522036","0.8464146304522036","0.8464146304522036"
"33","0.8885866222017744","0.8885866222017744","0.8885866222017744","0.8957481348124495","0.8957481348124495","0.8957481348124495","0.8141606256832071","0.8141606256832071","0.8141606256832071","0.8491584944584956","0.8491584944584956","0.8491584944584956"
"34","0.8901884518451879","0.8901884518451879","0.8901884518451879","0.897084789577842","0.897084789577842","0.897084789577842","0.8245153317029046","0.8245153317029046","0.8245153317029046","0.8511024732658817","0.8511024732658817","0.8511024732658817"
"35","0.8937537814550023","0.8937537814550023","0.8937537814550023","0.9068055052366693","0.9068055052366693","0.9068055052366693","0.8184854396382584","0.8184854396382584","0.8184854396382584","0.8500365969853826","0.8500365969853826","0.8500365969853826"
"36","0.894032937107164","0.894032937107164","0.894032937107164","0.9133158468139003","0.9133158468139003","0.9133158468139003","0.8416403417779338","0.8416403417779338","0.8416403417779338","0.8535134238155972","0.8535134238155972","0.8535134238155972"
"37","0.8980168742271162","0.8980168742271162","0.8980168742271162","0.9059558528962128","0.9059558528962128","0.9059558528962128","0.8438999461948089","0.8438999461948089","0.8438999461948089","0.8525633103947977","0.8525633103947977","0.8525633103947977"
"38","0.9027013215917223","0.9027013215917223","0.9027013215917223","0.9040043805263756","0.9040043805263756","0.9040043805263756","0.8664970595287229","0.8664970595287229","0.8664970595287229","0.8457307594378933","0.8457307594378933","0.8457307594378933"
"39","0.8930171960846717","0.8930171960846717","0.8930171960846717","0.9091127247739157","0.9091127247739157","0.9091127247739157","0.8679487831098807","0.8679487831098807","0.8679487831098807","0.8570586451929437","0.8570586451929437","0.8570586451929437"
"40","","","","","","","0.8552711409662012","0.8552711409662012","0.8552711409662012","","",""
"41","","","","","","","0.8607699869507743","0.8607699869507743","0.8607699869507743","","",""
"42","","","","","","","0.8704562750559851","0.8704562750559851","0.8704562750559851","","",""
"43","","","","","","","0.8517666532826287","0.8517666532826287","0.8517666532826287","","",""
"44","","","","","","","0.889750018184703","0.889750018184703","0.889750018184703","","",""
"45","","","","","","","0.8711292985845469","0.8711292985845469","0.8711292985845469","","",""
"46","","","","","","","0.8889919782293325","0.8889919782293325","0.8889919782293325","","",""
"47","","","","","","","0.8781710774074859","0.8781710774074859","0.8781710774074859","","",""
"48","","","","","","","0.8935781079987417","0.8935781079987417","0.8935781079987417","","",""
"49","","","","","","","0.8938453477293572","0.8938453477293572","0.8938453477293572","","",""
