"Step","lively-mountain-127 - train_loss","lively-mountain-127 - train_loss__MIN","lively-mountain-127 - train_loss__MAX","youthful-brook-67 - train_loss","youthful-brook-67 - train_loss__MIN","youthful-brook-67 - train_loss__MAX"
"0","1.1129359662907679","1.1129359662907679","1.1129359662907679","0.4199665164047817","0.4199665164047817","0.4199665164047817"
"1","0.7164822624164557","0.7164822624164557","0.7164822624164557","0.2047447956395599","0.2047447956395599","0.2047447956395599"
"2","0.5497828549559012","0.5497828549559012","0.5497828549559012","0.179218634944292","0.179218634944292","0.179218634944292"
"3","0.4769288551507506","0.4769288551507506","0.4769288551507506","0.16802339193955906","0.16802339193955906","0.16802339193955906"
"4","0.42977753225362525","0.42977753225362525","0.42977753225362525","0.13862678106850798","0.13862678106850798","0.13862678106850798"
"5","0.4027937036640239","0.4027937036640239","0.4027937036640239","0.13290445827088265","0.13290445827088265","0.13290445827088265"
"6","0.37901728453126343","0.37901728453126343","0.37901728453126343","0.1233012206618141","0.1233012206618141","0.1233012206618141"
"7","0.37555151330599995","0.37555151330599995","0.37555151330599995","0.1133442723151273","0.1133442723151273","0.1133442723151273"
"8","0.35832443432238115","0.35832443432238115","0.35832443432238115","0.10059047673108443","0.10059047673108443","0.10059047673108443"
"9","0.35564287705991254","0.35564287705991254","0.35564287705991254","0.09632966082613423","0.09632966082613423","0.09632966082613423"
"10","0.34349948265267616","0.34349948265267616","0.34349948265267616","0.09024815752446276","0.09024815752446276","0.09024815752446276"
"11","0.33494204526427407","0.33494204526427407","0.33494204526427407","0.086257444706353","0.086257444706353","0.086257444706353"
"12","0.3317848471725512","0.3317848471725512","0.3317848471725512","0.08824427846186565","0.08824427846186565","0.08824427846186565"
"13","0.3203525758764279","0.3203525758764279","0.3203525758764279","0.09424990211736481","0.09424990211736481","0.09424990211736481"
"14","0.3254562298456828","0.3254562298456828","0.3254562298456828","0.09391606133782639","0.09391606133782639","0.09391606133782639"
"15","0.31876127637407314","0.31876127637407314","0.31876127637407314","0.07882573676746596","0.07882573676746596","0.07882573676746596"
"16","0.3118989369029519","0.3118989369029519","0.3118989369029519","0.07041914969120386","0.07041914969120386","0.07041914969120386"
"17","0.3048186513237983","0.3048186513237983","0.3048186513237983","0.06870418242969603","0.06870418242969603","0.06870418242969603"
"18","0.30038721014118797","0.30038721014118797","0.30038721014118797","0.06687586793922029","0.06687586793922029","0.06687586793922029"
"19","0.30019103839712324","0.30019103839712324","0.30019103839712324","0.06618967039873765","0.06618967039873765","0.06618967039873765"
"20","0.29616198221092704","0.29616198221092704","0.29616198221092704","0.06782885466544133","0.06782885466544133","0.06782885466544133"
"21","0.2957402669408786","0.2957402669408786","0.2957402669408786","0.06334902394867543","0.06334902394867543","0.06334902394867543"
"22","0.28802546367705245","0.28802546367705245","0.28802546367705245","0.06217969447702357","0.06217969447702357","0.06217969447702357"
"23","0.29594419426138296","0.29594419426138296","0.29594419426138296","0.06102464150332805","0.06102464150332805","0.06102464150332805"
"24","0.2900579487752615","0.2900579487752615","0.2900579487752615","0.06734981519995996","0.06734981519995996","0.06734981519995996"
"25","0.28503430050873907","0.28503430050873907","0.28503430050873907","0.060542394141168715","0.060542394141168715","0.060542394141168715"
"26","0.290835036646645","0.290835036646645","0.290835036646645","0.05513059786936772","0.05513059786936772","0.05513059786936772"
"27","0.28232889505302383","0.28232889505302383","0.28232889505302383","0.05460323578906509","0.05460323578906509","0.05460323578906509"
"28","0.2857365992459111","0.2857365992459111","0.2857365992459111","0.053648645126219814","0.053648645126219814","0.053648645126219814"
"29","0.2849007211203845","0.2849007211203845","0.2849007211203845","0.05378244696360714","0.05378244696360714","0.05378244696360714"
"30","0.28363115570080355","0.28363115570080355","0.28363115570080355","0.051258861053289854","0.051258861053289854","0.051258861053289854"
"31","0.2789370518435472","0.2789370518435472","0.2789370518435472","0.05040410519489702","0.05040410519489702","0.05040410519489702"
"32","0.2782886021542099","0.2782886021542099","0.2782886021542099","0.048719515356252775","0.048719515356252775","0.048719515356252775"
"33","0.27038909429274266","0.27038909429274266","0.27038909429274266","0.04754973051823535","0.04754973051823535","0.04754973051823535"
"34","0.2775258868745288","0.2775258868745288","0.2775258868745288","0.04624678115331152","0.04624678115331152","0.04624678115331152"
"35","0.27181971061904475","0.27181971061904475","0.27181971061904475","0.04618290287424933","0.04618290287424933","0.04618290287424933"
"36","0.27242703835169474","0.27242703835169474","0.27242703835169474","0.04609028808538269","0.04609028808538269","0.04609028808538269"
"37","0.2663661669635173","0.2663661669635173","0.2663661669635173","0.04773980865501008","0.04773980865501008","0.04773980865501008"
"38","0.2728294652213091","0.2728294652213091","0.2728294652213091","0.04894071511877408","0.04894071511877408","0.04894071511877408"
"39","0.2686461257109852","0.2686461257109852","0.2686461257109852","0.04640003346234747","0.04640003346234747","0.04640003346234747"
